DATE,EXHOSLUSM495S
2020-08-01,5970000.0
2020-09-01,6440000.0
2020-10-01,6730000.0
2020-11-01,6590000.0
2020-12-01,6650000.0
2021-01-01,6660000.0
2021-02-01,6240000.0
2021-03-01,6010000.0
2021-04-01,5850000.0
2021-05-01,5780000.0
2021-06-01,5870000.0
2021-07-01,6000000.0
2021-08-01,5880000.0
